fips1,name,year,ID2008,Textbox50,ID2009,Textbox53,ID2010,Textbox56,ID2011,Textbox59,ID20121,Textbox62,ID2013,Textbox65,ID20141,Textbox68,ID2015,Textbox71,ID20161,Textbox12,Textbox20,Textbox11
6085,"Santa Clara County, CA",2011,9.3,2012,7.9,2013,6.5,2014,5.2,2015,4.1,2016,3.8,2017,3.2,2018,2.7,2019,2.5,Median Household Income (2019),132444.00,1.6470
6087,"Santa Cruz County, CA",2011,13.1,2012,11.8,2013,10.3,2014,8.7,2015,7.5,2016,7,2017,5.7,2018,5,2019,4.7,Median Household Income (2019),85770.00,1.0660
6089,"Shasta County, CA",2011,15.9,2012,14.2,2013,11.8,2014,9.6,2015,7.8,2016,7,2017,5.8,2018,5,2019,4.7,Median Household Income (2019),61464.00,0.7640
6091,"Sierra County, CA",2011,14.9,2012,14.4,2013,12.7,2014,10.1,2015,8.7,2016,7.6,2017,6.5,2018,6.1,2019,5.4,Median Household Income (2019),55862.00,0.6950
6093,"Siskiyou County, CA",2011,17,2012,15.6,2013,13.1,2014,11.1,2015,9.4,2016,8.5,2017,7.3,2018,6.8,2019,6.5,Median Household Income (2019),45954.00,0.5710
6095,"Solano County, CA",2011,12.2,2012,10.7,2013,9.1,2014,7.5,2015,6.1,2016,5.5,2017,4.8,2018,4,2019,3.7,Median Household Income (2019),85704.00,1.0660
6097,"Sonoma County, CA",2011,10.2,2012,8.9,2013,7.1,2014,5.6,2015,4.5,2016,4,2017,3.4,2018,2.8,2019,2.7,Median Household Income (2019),87084.00,1.0830
6099,"Stanislaus County, CA",2011,16.5,2012,14.9,2013,12.9,2014,11.2,2015,9.5,2016,8.6,2017,7.5,2018,6.5,2019,6,Median Household Income (2019),62761.00,0.7800
6101,"Sutter County, CA",2011,18.2,2012,16.8,2013,14.6,2014,12.6,2015,10.7,2016,9.7,2017,8.7,2018,7.7,2019,7.3,Median Household Income (2019),60910.00,0.7570
6103,"Tehama County, CA",2011,15,2012,13.7,2013,11.6,2014,9.6,2015,7.9,2016,7.1,2017,6.4,2018,5.8,2019,5.5,Median Household Income (2019),51672.00,0.6430
6105,"Trinity County, CA",2011,16.7,2012,14.6,2013,11.9,2014,9.4,2015,7.8,2016,7.1,2017,6.2,2018,5.8,2019,5.5,Median Household Income (2019),43881.00,0.5460
6107,"Tulare County, CA",2011,17.1,2012,16.2,2013,14.4,2014,13.1,2015,11.6,2016,11.2,2017,10.4,2018,9.8,2019,9.6,Median Household Income (2019),56776.00,0.7060
6109,"Tuolumne County, CA",2011,14.5,2012,13,2013,10.8,2014,8.6,2015,7,2016,6.2,2017,5.4,2018,4.7,2019,4.5,Median Household Income (2019),64729.00,0.8050
6111,"Ventura County, CA",2011,10.2,2012,9.1,2013,7.9,2014,6.6,2015,5.6,2016,5.2,2017,4.5,2018,3.8,2019,3.6,Median Household Income (2019),91446.00,1.1370
6113,"Yolo County, CA",2011,11.8,2012,10.6,2013,9,2014,7.5,2015,6.5,2016,5.9,2017,5.1,2018,4.3,2019,4.1,Median Household Income (2019),70951.00,0.8820
6115,"Yuba County, CA",2011,17,2012,15.4,2013,13.2,2014,11.2,2015,9.3,2016,8.6,2017,7.4,2018,6.5,2019,6.1,Median Household Income (2019),56607.00,0.7040
